id,en,ru,uk,pl,da
BRICK_SHORTAGE,Brick Shortage,Дефицит кирпича,Нехватка цегли,,Byggesten Mangel
BRICK_SHORTAGE_DESC,All players lose 8 bricks,Все игроки теряют по 8 кирпичей,Усі гравці втрачають по 8 цеглин,,Alle spillere mister 8 byggesten
LUCKY_CACHE,Lucky Cache,Удачная находка,Вдала знахідка,,Heldigt Forråd
LUCKY_CACHE_DESC,"+2 Bricks, +2 Gems, Play again","+2 Кирпича, +2 Самоцвета, Играем снова","+2 Цегли, +2 Самоцвіту, Граємо знову",,"+2 Byggesten, +2 Ædelstene, Spil igen"
FRIENDLY_TERRAIN,Friendly Terrain,Благотатная почва,Благодатний ґрунт,,Venligt Terræn
FRIENDLY_TERRAIN_DESC,"+1 Wall, Play again","+1 к Стене, Играем снова","+1 до Стіни, Граємо знову",,"+1 Mur, Spil igen"
MINERS,Miners,Шахтёры,Шахтарі,,Minearbejdere
MINERS_DESC,+1 Quarry,+1 к Карьеру,+1 до Кар'єру,,+1 Stenbrud
MOTHER_LODE,Mother Lode,Большая жила,Велика жила,,Hovedåre
MOTHER_LODE_DESC,"If quarry < enemy quarry, +2 quarry. Else, +1 quarry","Если карьер < чем у врага, то карьер +2. Иначе +1 Карьер","Якщо кар'єр ніж у ворога, то кар'єр +2. Інакше +1",,"Hvis stenbrud < modstander stenbrud, +2 stenbrud. Ellers, +1 stenbrud"
DWARVEN_MINERS,Dwarven Miners,Гномы-Шахтёры,Гноми-Шахтарі,,Dværg Minearbejdere
DWARVEN_MINERS_DESC,"+4 Wall, +1 Quarry","+4 к Стене, +1 к карьеру","+4 до Стіни, +1 до кар'єру",,"+4 Mur, +1 Stenbrud"
WORK_OVERTIME,Work Overtime,Сверхурочные,Понаднормові,,Arbejd Overtid
WORK_OVERTIME_DESC,"+5 Wall, You lose 6 gems","+5 к Стене, вы теряете 5 самоцветов","+5 до Стіни, ви втрачаєте 5 самоцвітів",,"+5 Mur, Du mister 6 ædelstene"
COPPING_THE_TECH,Copping the Tech,Чужая технология,Чужа технологія,,Hug Teknologien
COPPING_THE_TECH_DESC,"If quarry < enemy quarry, quarry = enemy quarry","Если карьер < чем у врага, то карьер становится = вражескому","Якщо кар'єр < ніж у ворога, то кар'єр стає ворожим",,"Hvis stenbrud < modstander stenbrud, stenbrud = modstander stenbrud"
BASIC_WALL,Basic Wall,Обычная стена,Звичайна стіна,,Almindelig Mur
BASIC_WALL_DESC,+3 Wall,+3 к Стене,+3 до Стіни,,+3 Mur
STURDY_WALL,Sturdy Wall,Крепкая стена,Міцна стіна,,Hårdført Mur
