id,en,ru,uk,pl,da,de,fr
START_GAME,Start Game,Начать игру,Почати гру,Rozpocząć grę,Nyt Spil,Spiel starten,Démarrer le jeu
SETTINGS,Settings,Настройки,Налаштування,Konfiguracja,Indstillinger,Einstellungen,Paramètres
LEADERBOARD,Leaderboard,Таблица лидеров,Таблиця лідерів,Tabela Liderów,Point Tavle,Bestenliste,Classement
CREDITS,Credits,Титры,Титр,Napis,Credits,Impressum,Crédits
EXIT,Exit,Выход,Вихід,Wyjście,Afslut,Beenden,Quitter
BRICKS,bricks,кирпичи,цегла,cegły,Byggesten,Ziegel,Briques
GEMS,gems,самоцветы,самоцвіти,klejnoty,Ædelstene,Edelsteine,Gemmes
RECRUITS,recruits,звери,звірі,rekrutów,Rekrutter,Rekruten,Recrues
COMPUTER,COMPUTER,ИИ,Штучний інтелект,Sztuczna inteligencja,Computer,COMPUTER,ORDINATEUR
WINDOW_SETTINGS,Window Settings,Настройки окна,Налаштування вікна,Ustawienia Okna,Vindue Indstillinger,Fenstereinstellungen,Paramètres de la fenêtre
SOUND_SETTINGS,Sound Settings,Настройки звука,Налаштування звуку,Ustawienia Dźwięku,Lyd Indstillinger,Toneinstellungen,Paramètres audio
STARTING_CONDITIONS,Starting Conditions,Стартовые настройки,Початкові налаштування,Ustawienia początkowe,Begyndelses Vilkår,Startbedingungen,Conditions de départ
PLAY_CONDITIONS,Play Conditions,Игровые настройки,Ігрові налаштування,Ustawienia gry,Spilleregler,Spielbedingungen,Conditions de jeu
VICTORY_CONDITIONS,Victory Conditions,Условия победы,Умови перемоги,Warunki zwycięstwa,Sejr Vilkår,Siegbedingungen,Conditions de victoire
TAVERN_PRESETS,Tavern Presets,Выбор таверны,Вибір таверни,Wybór tawerny,Kro Indstillinger,Taverne-Voreinstellungen,Préréglages de la taverne
FULLSCREEN,Fullscreen:,Полноэкранный:,Повноекранний:,Pelnoekranowy:,Fuld Skærm:,Vollbild:,Plein écran :
BORDERLESS,Borderless:,Безрамочный:,Безрамковий:,Bezramkowy:,Ingen Border:,Randlos:,Sans bordure :
WINDOW_WIDTH,Window Width:,Ширина окна:,Ширина вікна:,Szerokość okna:,Vinduesbredde:,Fensterbreite:,Largeur de la fenêtre :
WINDOW_HEIGHT,Height:,Высота:,Висота:,Wysokość:,Vindueshøjde:,Höhe:,Hauteur :
VSYNC,VSync:,VSync:,VSync:,VSync:,VSync:,VSync:,VSync :
INTRO_SKIP,Intro skip:,Пропуск интро:,Пропуск інтро:,Intro skip:,Intro Skip:,Intro überspringen:,Passer l'intro :
MASTER,Master:,Общий:,Загальний:,Generał:,Master:,Haupt:,Principal :
MUSIC,Music:,Музыка:,Музика:,Muzyka:,Musik:,Musik:,Musique :
SOUNDS,Sounds:,Звуки:,Звуки:,Dźwięk:,Lyd:,Geräusche:,Sons :
MUTE_SOUND,Mute Sound,Заглушить звук,Заглушити звук,Zagłuszyć dźwięk,Lydløs,Stummschalten,Muet
SINGLEPLAYER,Single Player,Одиночная игра,Одиночна гра,Gra pojedyncza,Singleplayer,Einzelspieler,Joueur unique
MULTIPLAYER,Multi Player,Сетевая игра,Багатокористувацька,Multiplayer,Multiplayer,Mehrspieler,Multijoueur
SINGLE_CLICK_MODE,Single Click Mode,Одиночный клик,Режим одиночного клацання,Tryb Pojedynczego Kliknięcia,Enkelt Klik Instilling,Ein-Klick-Modus,Mode à un clic
TOWER_LEVELS,Tower Levels:,Высота башни,Висота вежі:,Wysokość wieży:,Tårn Niveau:,Turmebenen:,Niveaux de la tour :
WALL_LEVELS,Wall Levels:,Высота стены,Висота стіни:,Wysokość ściany:,Mur Niveau:,Wandstufen:,Niveaux des murs :
QUARRY_LEVELS,Quarry Levels:,Карьеры,Рівні кар’єру:,Poziomy kariery:,Stenbrud Niveau:,Steinbruchstufen:,Niveaux de la carrière :
MAGIC_LEVELS,Magic Levels:,Магия,Рівні магії:,Poziomy magii:,Magi Niveau:,Magie-Ebenen:,Niveaux de magie :
DUNGEON_LEVELS,Dungeon Levels:,Темницы,Рівні підземелля:,Poziomy lochów:,Hule Niveau:,Verliesstufen:,Niveaux du donjon :
BRICK_QUANTITIES,Brick Quantities:,Кирпичи,Кількість цегли:,Ilość cegieł:,Byggesten Mængde:,Ziegelmengen:,Quantités de briques :
GEM_QUANTITIES,Gem Quantities:,Самоцветы,Кількість самоцвітів:,Ilość klejnotów:,Ædelsten Mængde:,Edelsteinmengen:,Quantités de gemmes :
RECRUIT_QUANTITIES,Recruit Quantities:,Звери,Кількість звірів:,Liczba rekrutów:,Rekrut Mængde:,Rekrutenzahlen:,Quantités de recrues :
AUTOGET_BRICKS,Auto Get Number of Bricks:,Авто получение кирпичей:,Автоматично отримати кількість цегли:,Automatycznie uzyskaj liczbę cegieł:,Auto Skaf Antal af Byggesten:,Automatisch Anzahl Ziegel erhalten:,Obtenir automatiquement le nombre de briques :
AUTOGET_GEMS,Auto Get Number of Gems:,Авто получение самоцветов:,Автоматично отримати кількість самоцвітів:,Automatycznie uzyskaj liczbę klejnotów:,Auto Skaf Antal af Ædelstene:,Automatisch Anzahl Edelsteine erhalten:,Obtenir automatiquement le nombre de gemmes :
AUTOGET_RECRUITS,Auto Get Number of Recruits:,Авто получение зверей:,Автоматично отримати кількість звірів:,Automatycznie uzyskać Ilość rekrutów:,Auto Skaf Antal af Rekrutter:,Automatisch Anzahl Rekruten erhalten:,Obtenir automatiquement le nombre de recrues :
